;source;id;title;objectives
27;skyrim;57594;Battle for Whiterun (Stormcloaks);"Get your orders from Galmar 
Break through the enemy barricade 
Follow Galmar Stone-Fist 
Open the exterior gate 
Open the drawbridge 
Enter Whiterun 
Break through the first barricade 
Break through the second barricade 
Break through the final barricade 
Force Jarl Balgruuf the Greater to surrender 
Accept Jarl Balgruuf the Greater's surrender"
28;skyrim;70965;Battle for Windhelm;"Get your orders form General Tullius 
Force Ulfric Stormcloak to surrender 
Execute Ulfric Stormcloak"
29;skyrim;50351;Before the Storm (Skyrim);"Talk to Alvor or Gerdur in Riverwood 
Talk to the Jarl of Whiterun"
30;skyrim;962650;Blacksmithing Tutorial;"Craft an iron dagger 
Temper the iron dagger 
Craft some leather 
Craft a hide helmet 
Temper the hide helmet"
31;skyrim;42744;Bleak Falls Barrow (Quest);"Talk to Farengar 
Retrieve the Dragonstone 
Deliver the Dragonstone to Farengar"
32;skyrim;67476;Blindsighted;"Travel to Irkngthand 
Speak to Karliah 
Locate Mercer Frey 
Slay Mercer Frey 
Retrieve the Skeleton Key 
Escape from Irkngthand 
Speak to Karliah"
33;skyrim;59721;Blood on the Ice;"Question the witnesses 
Report to the guard 
Talk to Jorleif 
Examine the crime scene 
Talk to Helgird 
Get access to Hjerim 
Look for clues 
Follow up on clues from Hjerim 
Meet Viola outside of Hjerim (if spoken to) 
Invetigate Hjerim with Viola (if spoken to) 
Talk to Jorleif 
Patrol the streets of the Stone Quarter at night 
Catch the murderer 
Talk to Jorleif for reward"
34;skyrim;56769;Blood's Honor;"Speak to Kodlak Whitemane 
Collect a Glenmoril Witch's head 
Wipe out the Glenmoril Witches (optional) 
Return to Kodlak"
35;skyrim;1073026;Boethiah's Bidding;Assassinate the Jarl of Solitude
36;skyrim;60284;Boethiah's Calling;"Investigate the Boethiah cultist (if attacked) 
Find the shrine of Boethiah 
Find the cult of Boethiah 
Lead someone to become trapped by the shrine and slay them 
Speak to Boethiah's Conduit 
Slay everyone at Knifepoint Ridge stealthily 
Retrieve and equip the Ebony Mail"
37;skyrim;44504;Bound Until Death;"Kill Vittoria Vici 
Report back to Astrid"
38;skyrim;903794;Bow to the Master;"Retrieve Dravin's Bow 
Return Dravin's Bow"
39;skyrim;50532;Breaching Security;"Speak with Gabriella 
Steal Gaius Maro's travel schedule (optional) 
Kill Gaius Maro 
Plant the Incriminating Letter on Gaius Maro's body 
Report back to Gabriella"
40;skyrim;69248;Brelyna's Practice;"Wait for Brelyna's spell to wear off 
Speak to Brelyna"
41;skyrim;1018720;Bring It!;"Speak to Harrald about the dagger for the son of the Jarl 
Pick up his sword from Balimund in Riften"
42;skyrim;80363;Bullying Braith;Convince Braith to stop bullying Lars
43;skyrim;901494;Buy Dwarven artifact;Bring a dwarven item to Calcelmo
44;skyrim;824731;Caught Red Handed;"Obtain a Mark of Dibella from Bolli 
Obtain a Mark of Dibella from Hrofgir 
Obtain a Mark of Dibella from Indaryn 
Confront Haelga with the Marks of Dibella 
Speak to Svana"
45;skyrim;869190;Chop Wood;"Find a woodcutter's axe 
Chop wood at a block 
Sell the wood to a buyer"
46;skyrim;247458;Climb The Steps;"Bring the supplies to High Hrothgar 
Return to Klimmek"
47;skyrim;395065;Coated in Blood;Bring a Daedra's heart to Moth
48;skyrim;265690;Coming of Age;"Retrieve the treasure within Ironbind Barrow 
Kill Warlord Gathrik 
Kill Beem-Ja 
Claim the treasure"
49;skyrim;71187;Compelling Tribute (Imperials);"Find evidence 
Blackmail Anuriel 
Report to Legate Rikke 
Meet the men 
Follow Hadvar and ambush the enemy scout 
Take over the caravan 
Report back to Hadvar 
Report success to Legate Rikke"
50;skyrim;72642;Compelling Tribute (Stormcloaks);"Find evidence 
Blackmail Raerek 
Report to Galmar Stone-Fist 
Meet the men 
Follow Ralof and ambush the enemy scout 
Take over the caravan 
Report back to Ralof 
Report success to Galmar Stone-Fist"
51;skyrim;105294;Composure, Speed, and Precision;"Complete the first test 
Complete the second test 
Complete the third test"
52;skyrim;66992;Conjuration Ritual Spell;"Summon and subdue an Unbound Dremora 
Deliver the stone to Phinis"
53;skyrim;57073;Containment;"Assess the damage to the Great Hall 
Find the Arch-Mage 
Protect the town of Winterhold 
Defeat the creatures infesting Winterhold 
Report to Mirabelle Ervine"
54;skyrim;84089;Contract: Kill Agnis;"Kill Agnis 
Report back to Nazir"
55;skyrim;77725;Contract: Kill Anoriath;"Kill Anoriath 
Report back to Nazir"
56;skyrim;62753;Contract: Kill Beitild;"Kill Beitild 
Report back to Nazir"
57;skyrim;81362;Contract: Kill Deekus;"Kill Deekus 
Report back to Nazir"
58;skyrim;62796;Contract: Kill Ennodius Papius;"Kill Ennodius Papius 
Report back to Nazir"
59;skyrim;84133;Contract: Kill Helvard;"Kill Helvard 
Report back to Nazir"
60;skyrim;63088;Contract: Kill Hern;"Kill Hern 
Report back to Nazir"
61;skyrim;64621;Contract: Kill Lurbuk;"Kill Lurbuk 
Report back to Nazir"
62;skyrim;81346;Contract: Kill Ma'randru-jo;"Kill Ma'randru-jo 
Report back to Nazir"
63;skyrim;84119;Contract: Kill Maluril;"Kill Maluril 
Report back to Nazir"
64;skyrim;62769;Contract: Kill Narfi;"Kill Narfi 
Report back to Nazir"
65;skyrim;84167;Contract: Kill Safia;"Kill Safia 
Report back to Nazir"
66;skyrim;61201;Dampened Spirits;"Speak to Maven Black-Briar 
Speak to Mallus Maccius 
Speak to Sabjorn 
Poison the nest 
Poison the Honningbrew vat 
Attend the tasting ceremony 
Identify Sabjorn's silent partner 
Return to Maven Black-Briar 
Return to Brynjolf"
67;skyrim;448688;Dark Ancestor;"Destroy the vampire Vighar 
Tell Dengeir that Vighar is dead"
68;skyrim;44503;Darkness Returns;"Enter the Twilight Sepulcher 
Speak to the Nightingale Sentinel 
Follow the Pilgrim's Path 
Retrieve Nystrom's Journal (optional) 
Return the Skeleton Key to Ebonmere 
Listen to Nocturnal 
Speak to Karliah 
Choose Nightingale Role"
69;skyrim;50573;Death Incarnate;"Enter the Sanctuary 
Search for survivors 
Kill the Legion soldiers inside the Sanctuary 
Kill Nazir's attacker! 
Speak with Nazir 
Escape the Sanctuary 
Embrace the Night Mother 
Talk to Astrid 
Kill Astrid 
Retrieve the Blade of Woe (optional) 
Return to the Night Mother"
70;skyrim;55681;Delayed Burial;"Talk to the strange jester 
Convince Loreius to fix the wheel 
Report Cicero to the guard 
Convince Loreius or report Cicero 
Talk to Loreius 
Talk to Cicero"
71;skyrim;76417;Deliver Moon Sugar to Ri'saad;"Deliver Moon Sugar to Ri'saad 
Return to Tonilia"
72;skyrim;159353;Delivery;Deliver the item to the target
73;skyrim;901557;Delivery to Calcelmo;Give the ring to Calcelmo
74;skyrim;55937;Destroy the Dark Brotherhood!;"Report Astrid's death to a guard 
Speak with Commander Maro 
Kill everyone in the Sanctuary! 
Report back to Commander Maro"
75;skyrim;65023;Destruction Ritual Spell;Complete the book Power of the Elements
76;skyrim;44495;Diplomatic Immunity;"Meet Delphine in Riverwood 
Meet Malborn in Solitude 
Give Malborn any equipment to smuggle into the Thalmor Embassy 
Meet Delphine at Katla's Farm in Solitude 
Create a distraction and get away from the party 
Retrieve the Dragonborn's gear (optional) 
Search for information about the dragons returning 
Escape the Thalmor Embassy 
Talk to Delphine"
77;skyrim;63023;Discerning the Transmundane;"Ask Urag about the insane book 
Find Septimus Signus 
Transcribe the Lexicon 
Give the Lexicon to Septimus 
Harvest High Elf blood 
Harvest Wood Elf blood 
Harvest Dark Elf blood 
Harvest Falmer blood 
Harvest Orc blood 
Bring blood to Septimus 
Take the Oghma Infinium"
78;skyrim;104086;Distant Memories;"Locate a clue about Brand-Shei's past 
Return to Brand-Shei"
79;skyrim;245135;Dragon Hunting;"Speak to Esbern 
Travel to the given lair location 
Defeat the dragon 
Return to Esbern"
80;skyrim;88241;Dragon Research;Bring one Dragon Scale and one Dragon Bone to Esbern
81;skyrim;71958;Dragon Seekers;"Kill the dragon at the den 
Talk to the quest giver"
82;skyrim;77306;Dragon's Breath Mead (Quest);"Steal the Dragon's Breath Mead for Olda 
Bring the Dragon's Breath Mead to Olda"
83;skyrim;44498;Dragonslayer;"Help the heroes of Sovngarde dispel Alduin's mist 
Defeat Alduin"
84;skyrim;1056436;Dravynea's Frost Salts;Bring some Frost Salts to Dravynea
85;skyrim;164093;Drowned Sorrows;"Talk to Haran 
Talk to Vex at the Ragged Flagon 
Find Isabelle Rolaine in Hob's Fall Cave 
Take Isabelle's Letter and deliver it to Ranmir"
86;skyrim;971450;Dungeon Delving;"Find the item inside the dungeon 
Return the item to the owner"
87;skyrim;44499;Elder Knowledge;"Learn the location of the Elder Scroll 
Talk to Esbern (Optional) 
Talk to Arngeir (Optional) 
Recover the Elder Scroll"
88;skyrim;104977;Elisif's Tribute;"Take Torygg's War Horn to the Shrine of Talos for Elisif the Fair 
Talk to Elisif"
89;skyrim;160086;Enchanting Pick-Up;"Go to the client and pick up the item 
Return the item to Sergius Turrianus"
90;skyrim;881068;Erik the Slayer (Quest);"Talk to Mralki about Erik 
Return to Erik"
91;skyrim;67690;Escaped Criminal;"Kill the escaped criminal 
Speak to the quest giver"
92;skyrim;69650;Evil in Waiting;"Collect the three vessels 
Perform the ritual with Valdar 
Defeat Hevnoraak"
93;skyrim;926070;Extracting an Argonian;"Find Derkeethus 
Get Derkeethus out of the cave"
94;skyrim;157862;Falion's Secret;"Follow Falion to the summoning circle at 1:00 AM 
Talk to Falion 
Inform the Jarl about Falion (optional)"
95;skyrim;65387;Family Heirloom;"Retrieve the gewgaw from the location 
Return to the quest giver"
96;skyrim;83908;Fetch Me That Book!;"Find the copy of the book 
Return the book to Urag gro-Shub"
97;skyrim;70223;Few and Far Between;"Find 20 nirnroot for Ingun Black-Briar 
Find 20 nightshade for Ingun Black-Briar 
Find 20 deathbell for Ingun Black-Briar 
Speak to Ingun Black-Briar"
98;skyrim;869200;Fight! Fight!;"Challenge someone to a brawl 
Win the brawl 
Collect the bet"
99;skyrim;74555;Find Roggi Knot-Beard's Ancestral Shield;"Find Roggi Knot-Beard's Ancestral Shield in the dungeon 
Return Roggi Knot-Beard's Ancestral Shield to Roggi"
100;skyrim;555599;Find Runil's Journal;"Find Runil's journal inside the location 
Return Runil's Journal to Runil"
101;skyrim;80441;Find the Source of Power;Find the Source of Power at the location
102;skyrim;73823;Find the Thalmor Assassin;"Find the Thalmor assassin 
Tell Malborn the assassin is dead"
103;skyrim;485195;Find the Word of Power;Find the Word of Power at the location
104;skyrim;74436;Finn's Lute (Quest);"Find Finn's Lute 
Give Finn's Lute to Inge"
105;skyrim;56946;First Lessons;"Join the College of Winterhold 
Cast: 
Report to Mirabelle Ervine 
Tour the College of Winterhold 
Listen to Tolfdir"
106;skyrim;125524;Fit for a Jarl;"Speak to Elisif with Taarie's outfit on 
Tell Taarie what Elisif said about the outfit"
107;skyrim;80721;Flight or Fight;"Report Leifnarr's death to his family 
Find Leifnarr 
Return to Grosta"
108;skyrim;863863;For the Good of Morthal;Deliver Gorm's Letter to Captain Aldis
109;skyrim;56697;Forbidden Legend;"Investigate the cryptic message 
Investigate the Gauldur legend 
Learn the truth from Daynas Valen 
Read Daynas Valen's notes 
Find the Gauldur Amulet fragment in Saarthal 
Find the Gauldur Amulet fragment in Folgunthur 
Find the Gauldur Amulet fragment in Geirmund's Hall 
Reforge the Gauldur Amulet 
Take the Gauldur Amulet"
110;skyrim;88508;Forgetting about Fjola;"Search Mistwatch for Fjola 
Return to Christer 
Report back to Fjola (if getting rid of Christer)"
111;skyrim;60355;Forgotten Names;"Discover the strange Daedric Gauntlet in The Midden 
Recover the nearby key and incident report 
Retrieve the four missing rings in the Arcanaeum 
Place the rings on the correct fingers of the gauntlet 
Slay or release Velehk Sain"
112;skyrim;90072;Frostflow Abyss (Quest);Find the source of the murders in Frostflow Lighthouse
113;skyrim;869187;Gather Wheat;"Collect crops 
Sell the crops to a farmer"
114;skyrim;80430;Get Outfitted;"Talk to Beirand 
Choose the desired armor type"
115;skyrim;102145;Gharol's Message;Deliver Gharol's sword to Lash
116;skyrim;44500;Glory of the Dead;"Attend Kodlak's funeral 
Give the fragments of Wuuthrad to Eorlund 
Retrieve Kodlak's fragment 
Give the final fragment to Eorlund 
Meet the Circle 
Go to Ysgramor's Tomb with the Circle 
Return Wuuthrad to Ysgramor 
Get to the burial chamber 
Speak to Kodlak 
Put witch head into fire 
Defeat the wolf spirit 
Speak to Kodlak"
117;skyrim;55815;Good Intentions;"Speak with Tolfdir 
Listen to Tolfdir 
Follow Ancano 
Find the Augur of Dunlain 
Report back to Savos Aren"
118;skyrim;59979;Greatsword for a Great Man;Deliver the sword to Proventus Avenicci
119;skyrim;160092;Grimsever's Return;"Locate Grimsever 
Return to Mjoll"
120;skyrim;158502;Grin and Bear It;"Gather 10 bear pelts for Temba Wide-Arm 
Retun to Temba Wide-Arm"
121;skyrim;44505;Hail Sithis!;"Talk to Nazir 
Talk to Amaund Motierre 
Board the Katariah 
Kill Commander Maro (optional) 
Kill the Emperor! 
Report to Amaund Motierre 
Retrieve the payment 
Kill Amaund Motierre (optional) 
Report to Nazir"
122;skyrim;60687;Hard Answers;"Speak with Enthir 
Speak with Calcelmo inside the Understone Keep in Markarth 
Obtain key to Calcelmo's Museum (optional) 
Gain Entry to Calcelmo's Museum 
Find Calcelmo's Falmer Translating Guide 
Duplicate the writing on Calcelmo's Stone with charcoal and a paper roll 
Return to Enthir 
Speak to Karliah"
123;skyrim;81505;Harsh Master;"Kill the bandit leader 
Return to Kjar"
124;skyrim;62062;Hired Muscle;"Intimidate the target at the location 
Return to Farkas"
125;skyrim;55822;Hitting the Books;"Speak with Mirabelle Ervine 
Speak with Urag gro-Shub 
Find the stolen books 
Free Orthorn (optional) 
Return the books"
126;skyrim;85644;Honor Thy Family;Pay Nazir the fine
127;skyrim;79190;Hunt and Gather;"Retrieve Wylandria's Spoon 
Retrieve Wylandria's Ingot 
Retrieve Wylandria's Soul Gem 
Return to Wylandria"
128;skyrim;88101;Hunter and Hunted;"Locate Valdr's hunting party 
Heal Valdr's injuries 
Clear out Moss Mother Cavern 
Return to Valdr (if told to wait)"
129;skyrim;869125;I Done Got Thaned!;"Befriend the Jarl of the Rift 
Assist five citizens of the Rift 
Stop the Skooma trade 
Purchase Honeyside 
Return to the Jarl"
130;skyrim;863177;Ice Cold;"Find five ice wraith teeth for Marise 
Return to Marise"
131;skyrim;51452;Ill Met by Moonlight;"Speak to Sinding 
Kill the great beast 
Begin the hunt 
Join the hunt 
Kill Sinding (optional) 
Skin Sinding (optional) 
Kill the hunters 
Talk to Sinding (if spared) 
Speak to Hircine"
132;skyrim;93437;Illusion Ritual Spell;Bring the Four Master Illusion texts to Drevis Neloren
133;skyrim;58896;Imitation Amnesty;"Speak to Olfrid Battle-Born 
Forge the prison registry 
Steal the letter incriminating Arn 
Return to Olfrid Battle-Born"
134;skyrim;58875;In My Time of Need;"Find the Redguard woman 
Speak with Saadia or inform the Alik'r of Saadia's location 
Talk to the Alik' Prisoner or inform the Alik'r of Saadia's location 
Find a way to enter the Alik'r hideout 
Enter the Alik'r hideout 
Kill Kematu or talk to him 
Kill Kematu or convince Saadia to meet Kematu 
Return to Saadia 
Lead Saadia to the Whiterun Stables (if siding with the Alik'r)"
135;skyrim;57781;Infiltration (Skyrim);"Use the backdoor to gain access to Treva's Watch 
Use the lever to open the gate to Treva's Watch 
Meet up with Stalleo in the courtyard"
136;skyrim;57615;Innocence Lost;"Talk to Aventus Aretino 
Kill Grelod the Kind 
Tell Aventus Aretino that Grelod the Kind has been killed"
137;skyrim;84451;Investigate the Bard's College;Investigate the Bards College
138;skyrim;69541;J'zargo's Experiment;"Test J'zargo's flame cloak spell on the undead 
Speak to J'zargo"
139;skyrim;66523;Joining the Legion;"Clear out Fort Hraggstad 
Report to Legate Rikke 
Take the oath"
140;skyrim;61724;Joining the Stormcloaks;"Kill the Ice Wraith 
Report to Galmar 
Take the oath"
141;skyrim;226705;Kidnapped for Ransom;"Read the bandit's Ransom Note 
Rescue spouse from the location"
142;skyrim;96287;Kill the Bandit Leader;"Kill the leader of the dungeon 
Tell the steward the bandit leader is dead"
143;skyrim;869207;Kill the Bandit Leader (Siddgeir);"Kill the leader of the bandits 
Return to Siddgeir"
144;skyrim;112172;Kill the Dragon;"Kill the dragon 
Collect the bounty"
145;skyrim;112171;Kill the Forsworn Leader;"Kill the leader of the Forsworn 
Collect the bounty"
146;skyrim;112178;Kill the Giant (Bounty);"Kill the giant 
Collect the bounty"
147;skyrim;868951;Kill the Giant (Jarl);"Kill the giant 
Return to Skald"
148;skyrim;104945;Kill the Vampire;"Kill the leader of Pinemoon Cave 
Tell Sybille the vampire is dead"
149;skyrim;96619;Kolskeggr Mine (Quest);"Clear the Forsworn from Kolskeggr Mine 
Tell Pavo the Kolskeggr Mine is cleared"
150;skyrim;63164;Kyne's Sacred Trials;"Defeat the Guardian Wolf 
Defeat the Guardian Skeever 
Defeat the Guardian Mudcrab 
Return to Froki 
Defeat the Guardian Bear 
Defeat the Guardian Mammoth 
Defeat the Guardian Sabre Cat 
Return to Froki 
Defeat the Guardian Troll 
Return to Froki"
151;skyrim;57323;Laid to Rest;"Talk to the Jarl 
Investigate the burned house 
Tell the Jarl about Helgi (optional) 
Find Helgi after dark 
Ask around about Laelette 
Ask Thronnir about Laelette 
Investigate Alva's house 
Show Alva's Journal to the Jarl 
Kill the master vampire 
Return to Morthal's Jarl"
152;skyrim;56736;Liberation of Skyrim;"Report to Ulfric Stormcloak 
Liberate Haafingar 
Liberate the Reach 
Liberate Hjaalmarch 
Liberate Whiterun Hold 
Liberate Falkreath Hold 
Liberate the Pale 
Liberate Winterhold Hold 
Liberate the Rift"
153;skyrim;94846;Lifting the Shroud;"Investigate Shroud Hearth Barrow 
Bring Wyndelius' Journal to Wilhelm"
154;skyrim;58018;Lights Out!;"Extinguish the fire in the Solitude Lighthouse 
Return to Jaree-Ra 
Find Deeja at the Wreck of the Icerunner 
Speak to Deeja, to get a share of the loot 
Defeat Deeja 
Find out where Jaree-Ra's bandits took the loot 
Travel to Broken Oar Grotto 
Defeat Jaree-Ra"
155;skyrim;901565;Lisbet's Missing Shipment;"Retrieve Lisbet's shipment from the Forsworn Camp 
Bring the Dibella Statue to Lisbet"
156;skyrim;74184;Locate the Assassin of Old;Locate the assassin of old
157;skyrim;56939;Loud and Clear;"Follow Brynjolf 
Listen to Mercer Frey 
Talk to Brynjolf 
Speak to Vex about Goldenglow Estate (optional) 
Burn three beehives 
Enter Goldenglow using sewer (optional) 
Obtain the key to Aringoth's safe (optional) 
Clear out Aringoth's safe 
Return to Brynjolf"
158;skyrim;88258;Meditations on the Words of Power;"Fus (force) will apply the effect Force Without Effort, giving a 25% increase in stability against staggering and a 25% chance of opponents being staggered (most recommended, as by the time one reaches Paarthurnax, one will have learned all words of power for Unrelenting Force). 
Feim (fade) will apply the effect Ethereal Spirit, increasing health regeneration while ethereal by 25%. 
Yol (fire) will apply the effect The Fire Within, increasing the damage dealt by Fire Breath by 25%."
159;skyrim;84129;Medresi Dran and the Wandering Dead;"Destroy the Draugr in Angarvunde 
Talk to Medresi in Angarvunde 
Find a way to open the gates 
Open the other gate 
Return to Madresi 
Discover the treasure of Angarvunde"
160;skyrim;57598;Message to Whiterun;"Deliver the message (If the Dragonborn joined the Stormcloaks: ""axe"") to the Jarl of Whiterun 
Assist Jarl Balgruuf with the dragon threat 
Wait for the Jarl's response 
Wait for orders from Jarl Ulfric (Stormcloaks only) 
Deliver the axe to Jarl Ulfric (Imperial Legion only) 
Return to Whiterun and warn the Jarl (Imperial Legion only) 
Return to Legate Quentin Cipius (Imperial Legion only)"
161;skyrim;153841;Mine or Yours;"Clear Redbelly Mine of spiders 
Return to Filnjar"
162;skyrim;869193;Mine Ore;"Find a pickaxe 
Mine ore 
Sell ore to buyers"
163;skyrim;50337;Missing in Action;"Meet Fralia in her home 
Find evidence of Thorald's fate 
Deliver proof to Avulstein 
One of two options: 
Rescue Thorald from Northwatch Keep 
Lead Thorald to safety 
Speak to Thorald 
Return to Fralia Gray-Mane"
164;skyrim;57962;Mourning Never Comes;"Speak with Astrid 
Talk to Muiri 
Kill Alain Dufont 
Kill Nilsine Shatter-shield (optional) 
Talk to Muiri 
Report back to Astrid"
165;skyrim;901575;Nimhe, the Poisoned One;"Kill Nimhe inside Nchuand-Zel 
Tell Calcelmo that Nimhe is dead"
166;skyrim;79737;No News is Good News;"Ask Aldis for information about Angeline's daughter 
Tell Angeline what Aldis said"
167;skyrim;59739;No One Escapes Cidhna Mine;"Ask a prisoner about Madanach 
Get past Borkul the Beast 
Talk to Madanach 
Hear Braig's story (Forsworn option) 
Kill Madanach (Silver-Blood option)"
168;skyrim;57212;No Stone Unturned (Skyrim);"Bring the Unusual Gem to an appraiser 
Find someone who can identify the Unusual Gem 
Become a full member of the Thieves Guild (if not already) 
Bring the Unusual Gem to Vex in the Thieves Guild 
Recover the Stones of Barenziah 
Speak to Vex 
Recover the Crown of Barenziah 
Return to Vex"
169;skyrim;74549;Onmund's Request;"Speak with Enthir 
Find the staff for Enthir 
Deliver the staff to Enthir 
Deliver the amulet to Onmund"
170;skyrim;886611;Ottoman Hold/Sandbox1;"""From the dust, these look left over from when the previous occupant moved out."" (Investigate Mead; two mead bottles near door) 
""From the marks on the floor, it looks like this box was pushed against the wall recently."" (Investigate Chest; chest near mead bottles) 
""These haven't been used for ages. Nothing by skeever droppings and cobwebs inside."" Investigate Pots and Pans; pans in side room) 
""The chair is stacked on the bed in an odd fashion."" (Investigate Bed and Chairs; upstairs stack of bed and two chairs) 
""This perfectly good wardrobe was left behind for some reason."" (Investigate Wardrobe; non-secret one) 
""This shelf is filled with more of those ""Butcher"" fliers from around the city. One pile looks misshapen."" (Investigate Small Shelf; shelf with butcher pamphlets) 
""This wardrobe seems to be nailed to the wall for some reason."" (Investigate Wardrobe; cabinet nailed to the wall) 
""This altar is built to unknown magic. It looks like someone is using body parts towards some gruesome end."" (Investigate Altar; altar in secret room) 
""No! Someone help me! Please!"" - Arivanya 
""You. You're coming with me. We're finally going to arrest the Butcher."" ""Yes, sir."" 
""What is the meaning of this?"" ""You're under the arrest, for the murder of Susanna of Candlehearth Hall. And Friga Shatter-Shield. And all the Rest. We're wise you you're scheming, old coward."" ""Has the whole city lost their brains? I've been scrying and auguring to find the murderer myself."" ""Make your excuses from the Bloodworks, murderer."""
171;skyrim;99106;Out of Balance;"Cleanse the focal points for magical energies around the College 
Return to Drevis Neloren"
172;skyrim;54449;Paarthurnax (Quest);"Kill Paarthurnax 
Talk to Delphine"
