source;id;title;objectives;objectives_entities
skyrim;44496;Alduin's Wall (Quest);"Escort Esbern to Riverwood 
Talk to Esbern 
Gain entrance to Sky Haven Temple 
Learn the secrets of Alduin's Wall";Escort xperx to xlocx Talk to xperx Gain entrance to Sky Haven xlocx Learn the secrets xmiscx xorgx 's xlocx
skyrim;71574;Alteration Ritual Spell;"Use Kavohzein's Fang to collect Heartscales 
Bring Dragon Heartscales to Tolfdir";Use Kavohzein 's xorgx to collect Heartscales Bring xmiscx Heartscales to xorgx
skyrim;55149;Amren's Sword;"Find Amren's Family Sword inside the bandit hideout 
Return Amren's Family Sword to Amren";xmiscx xlocx 's Family xmiscx inside the bandit hideout Return xlocx 's Family xmiscx to xlocx
skyrim;962994;Amulet of the Moon;"Find the Moon Amulet inside the dungeon 
Return the Moon Amulet to Kharjo";xmiscx the Moon Amulet inside the dungeon Return the Moon Amulet to xlocx
skyrim;68157;Ancestral Worship;"Protect Golldir (optional) 
Defeat Vals Veran 
Speak to Golldir (if alive)";Protect Golldir ( optional ) Defeat xperx xorgx Speak to Golldir ( if alive )
skyrim;395704;Andurs' Arkay Amulet;"Recover Andurs' Amulet of Arkay 
Return the amulet to Andurs";Recover xmiscx ' Amulet xmiscx Arkay Return the amulet to xmiscx
skyrim;62516;Animal Extermination;"Kill the beast 
Return to Aela";xorgx the beast Return to xperx
skyrim;79359;Argonian Ale Extraction;"Steal the Argonian Ale 
Give the Argonian Ale to Brenuin";Steal the Argonian Ale Give the Argonian Ale to Brenuin
skyrim;101828;Argonian Dock Workers;"Talk to Torbjorn Shatter-Shield about Scouts-Many-Marshes 
Tell Scouts-Many-Marshes that Torbjorn Shatter-Shield is taken care of";Talk to Torbjorn Shatter-Shield about Scouts-Many-Marshes Tell Scouts-Many-Marshes that Torbjorn Shatter-Shield is taken care xmiscx
skyrim;58680;Arniel's Endeavor;"Deliver ten cogs to Arniel Gane 
Speak to Enthir 
Acquire the Staff 
Deliver the staff of Enthir 
Talk to Arniel 
Place the warped soul gem into a Convecter 
Heat the Convector 
Retrieve the soul gem 
Place the warped soul gem into another Convector 
Heat the Convector 
Retrieve the soul gem 
Place the warped soul gem into a final Convector 
Heat the Convector 
Retrieve the soul gem 
Deliver the soul gem to Arniel 
Talk to Enthir 
Find the courier 
Deliver the package to Arniel 
Observe Arniel's experiment";Deliver ten cogs to Arniel Gane Speak to xorgx Acquire the xorgx Deliver the staff xmiscx xorgx Talk to Arniel Place the warped soul gem into a Convecter Heat the Convector Retrieve the soul gem Place the warped soul gem into another Convector Heat the Convector Retrieve the soul gem Place the warped soul gem into a final Convector Heat the Convector Retrieve the soul gem Deliver the soul gem to Arniel Talk to xorgx xmiscx the courier Deliver the package to Arniel Observe Arniel 's experiment
skyrim;97986;Ashore in a Sea of Ghosts;"Explore Yngol's Barrow 
Escape Yngol's Barrow";Explore Yngol 's xorgx xmiscx Yngol 's xorgx
skyrim;68456;Battle for Solitude;"Get your orders from Ulfric Stormcloak 
Force General Tullius to surrender 
Execute General Tullius";Get your orders from xperx xorgx xorgx General xperx to surrender Execute General xperx
skyrim;59615;Battle for Whiterun (Imperial);"Meet with Legate Rikke 
Defend the barricades 
Defend the drawbridge 
Destroy attackers";Meet with Legate xperx Defend the barricades Defend the drawbridge Destroy attackers
skyrim;57594;Battle for Whiterun (Stormcloaks);"Get your orders from Galmar 
Break through the enemy barricade 
Follow Galmar Stone-Fist 
Open the exterior gate 
Open the drawbridge 
Enter Whiterun 
Break through the first barricade 
Break through the second barricade 
Break through the final barricade 
Force Jarl Balgruuf the Greater to surrender 
Accept Jarl Balgruuf the Greater's surrender";Get your orders from xorgx Break through the enemy barricade Follow xorgx Stone-Fist Open the exterior gate Open the drawbridge Enter xlocx Break through the first barricade Break through the second barricade Break through the final barricade xorgx xorgx xperx the Greater to surrender Accept xorgx xperx the Greater 's surrender
skyrim;70965;Battle for Windhelm;"Get your orders form General Tullius 
Force Ulfric Stormcloak to surrender 
Execute Ulfric Stormcloak";Get your orders form General xperx xorgx xperx xorgx to surrender Execute xperx xorgx
skyrim;50351;Before the Storm (Skyrim);"Talk to Alvor or Gerdur in Riverwood 
Talk to the Jarl of Whiterun";Talk to xperx or xperx in xlocx Talk to the xorgx xmiscx xlocx
skyrim;962650;Blacksmithing Tutorial;"Craft an iron dagger 
Temper the iron dagger 
Craft some leather 
Craft a hide helmet 
Temper the hide helmet";Craft an iron dagger Temper the iron dagger Craft some leather Craft a hide helmet Temper the hide helmet
skyrim;42744;Bleak Falls Barrow (Quest);"Talk to Farengar 
Retrieve the Dragonstone 
Deliver the Dragonstone to Farengar";Talk to Farengar Retrieve the Dragonstone Deliver the Dragonstone to Farengar
skyrim;67476;Blindsighted;"Travel to Irkngthand 
Speak to Karliah 
Locate Mercer Frey 
Slay Mercer Frey 
Retrieve the Skeleton Key 
Escape from Irkngthand 
Speak to Karliah";Travel to xlocx Speak to xperx Locate xperx xlocx Slay xperx xlocx Retrieve the Skeleton Key xmiscx from xlocx Speak to xperx
skyrim;59721;Blood on the Ice;"Question the witnesses 
Report to the guard 
Talk to Jorleif 
Examine the crime scene 
Talk to Helgird 
Get access to Hjerim 
Look for clues 
Follow up on clues from Hjerim 
Meet Viola outside of Hjerim (if spoken to) 
Invetigate Hjerim with Viola (if spoken to) 
Talk to Jorleif 
Patrol the streets of the Stone Quarter at night 
Catch the murderer 
Talk to Jorleif for reward";Question the witnesses Report to the guard Talk to xperx Examine the crime scene Talk to xperx Get access to xlocx Look for clues Follow up on clues from xlocx Meet xperx outside xmiscx xlocx ( if spoken to ) Invetigate xlocx with xperx ( if spoken to ) Talk to xperx Patrol the streets xmiscx the xmiscx Quarter at night Catch the murderer Talk to xperx for reward
skyrim;56769;Blood's Honor;"Speak to Kodlak Whitemane 
Collect a Glenmoril Witch's head 
Wipe out the Glenmoril Witches (optional) 
Return to Kodlak";Speak to xperx Whitemane Collect a xlocx xmiscx 's head Wipe out the xlocx Witches ( optional ) Return to xperx
skyrim;1073026;Boethiah's Bidding;Assassinate the Jarl of Solitude;Assassinate the xorgx xmiscx xmiscx
skyrim;60284;Boethiah's Calling;"Investigate the Boethiah cultist (if attacked) 
Find the shrine of Boethiah 
Find the cult of Boethiah 
Lead someone to become trapped by the shrine and slay them 
Speak to Boethiah's Conduit 
Slay everyone at Knifepoint Ridge stealthily 
Retrieve and equip the Ebony Mail";Investigate the xorgx cultist ( if attacked ) xmiscx the shrine xmiscx xorgx xmiscx the cult xmiscx xorgx Lead someone to become trapped by the shrine xorgx slay them Speak to xorgx 's Conduit Slay everyone at Knifepoint Ridge stealthily Retrieve xorgx equip the Ebony Mail
skyrim;44504;Bound Until Death;"Kill Vittoria Vici 
Report back to Astrid";xorgx Vittoria Vici Report back to xperx
skyrim;903794;Bow to the Master;"Retrieve Dravin's Bow 
Return Dravin's Bow";Retrieve xperx 's Bow Return xperx 's Bow
skyrim;50532;Breaching Security;"Speak with Gabriella 
Steal Gaius Maro's travel schedule (optional) 
Kill Gaius Maro 
Plant the Incriminating Letter on Gaius Maro's body 
Report back to Gabriella";Speak with xperx Steal Gaius xperx 's travel schedule ( optional ) xorgx Gaius xperx Plant the Incriminating Letter on Gaius xperx 's body Report back to xperx
skyrim;69248;Brelyna's Practice;"Wait for Brelyna's spell to wear off 
Speak to Brelyna";Wait for xperx 's spell to wear off Speak to xperx
skyrim;1018720;Bring It!;"Speak to Harrald about the dagger for the son of the Jarl 
Pick up his sword from Balimund in Riften";Speak to xperx about the dagger for the son xmiscx the xorgx Pick up his sword from xperx in xorgx
skyrim;80363;Bullying Braith;Convince Braith to stop bullying Lars;Convince xperx to stop bullying xperx
skyrim;901494;Buy Dwarven artifact;Bring a dwarven item to Calcelmo;Bring a dwarven item to xperx
skyrim;824731;Caught Red Handed;"Obtain a Mark of Dibella from Bolli 
Obtain a Mark of Dibella from Hrofgir 
Obtain a Mark of Dibella from Indaryn 
Confront Haelga with the Marks of Dibella 
Speak to Svana";Obtain a Mark xmiscx xlocx from Bolli Obtain a Mark xmiscx xlocx from xperx Obtain a Mark xmiscx xlocx from xorgx Confront Haelga with the Marks xmiscx xlocx Speak to Svana
skyrim;869190;Chop Wood;"Find a woodcutter's axe 
Chop wood at a block 
Sell the wood to a buyer";xmiscx a woodcutter 's axe Chop wood at a block Sell the wood to a buyer
skyrim;247458;Climb The Steps;"Bring the supplies to High Hrothgar 
Return to Klimmek";Bring the supplies to High Hrothgar Return to xperx
skyrim;395065;Coated in Blood;Bring a Daedra's heart to Moth;Bring a xmiscx 's heart to xlocx
skyrim;265690;Coming of Age;"Retrieve the treasure within Ironbind Barrow 
Kill Warlord Gathrik 
Kill Beem-Ja 
Claim the treasure";Retrieve the treasure within Ironbind xorgx xorgx Warlord xperx xorgx Beem-Ja Claim the treasure
skyrim;71187;Compelling Tribute (Imperials);"Find evidence 
Blackmail Anuriel 
Report to Legate Rikke 
Meet the men 
Follow Hadvar and ambush the enemy scout 
Take over the caravan 
Report back to Hadvar 
Report success to Legate Rikke";xmiscx evidence Blackmail Anuriel Report to Legate xperx Meet the men Follow xperx xorgx ambush the enemy scout Take over the caravan Report back to xperx Report success to Legate xperx
skyrim;72642;Compelling Tribute (Stormcloaks);"Find evidence 
Blackmail Raerek 
Report to Galmar Stone-Fist 
Meet the men 
Follow Ralof and ambush the enemy scout 
Take over the caravan 
Report back to Ralof 
Report success to Galmar Stone-Fist";xmiscx evidence Blackmail Raerek Report to xorgx Stone-Fist Meet the men Follow xperx xorgx ambush the enemy scout Take over the caravan Report back to xperx Report success to xorgx Stone-Fist
skyrim;105294;Composure, Speed, and Precision;"Complete the first test 
Complete the second test 
Complete the third test";Complete the first test Complete the second test Complete the third test
skyrim;66992;Conjuration Ritual Spell;"Summon and subdue an Unbound Dremora 
Deliver the stone to Phinis";Summon xorgx subdue an Unbound Dremora Deliver the stone to xperx
skyrim;57073;Containment;"Assess the damage to the Great Hall 
Find the Arch-Mage 
Protect the town of Winterhold 
Defeat the creatures infesting Winterhold 
Report to Mirabelle Ervine";Assess the damage to the Great xlocx xmiscx the Arch-Mage Protect the town xmiscx xlocx Defeat the creatures infesting xlocx Report to Mirabelle Ervine
skyrim;84089;Contract: Kill Agnis;"Kill Agnis 
Report back to Nazir";xorgx Agnis Report back to xperx
skyrim;77725;Contract: Kill Anoriath;"Kill Anoriath 
Report back to Nazir";xorgx Anoriath Report back to xperx
skyrim;62753;Contract: Kill Beitild;"Kill Beitild 
Report back to Nazir";xorgx Beitild Report back to xperx
skyrim;81362;Contract: Kill Deekus;"Kill Deekus 
Report back to Nazir";xorgx Deekus Report back to xperx
skyrim;62796;Contract: Kill Ennodius Papius;"Kill Ennodius Papius 
Report back to Nazir";xorgx Ennodius Papius Report back to xperx
skyrim;84133;Contract: Kill Helvard;"Kill Helvard 
Report back to Nazir";xorgx Helvard Report back to xperx
skyrim;63088;Contract: Kill Hern;"Kill Hern 
Report back to Nazir";xorgx Hern Report back to xperx
skyrim;64621;Contract: Kill Lurbuk;"Kill Lurbuk 
Report back to Nazir";xorgx Lurbuk Report back to xperx
skyrim;81346;Contract: Kill Ma'randru-jo;"Kill Ma'randru-jo 
Report back to Nazir";xorgx Ma'randru-jo Report back to xperx
skyrim;84119;Contract: Kill Maluril;"Kill Maluril 
Report back to Nazir";xorgx Maluril Report back to xperx
skyrim;62769;Contract: Kill Narfi;"Kill Narfi 
Report back to Nazir";xorgx xlocx Report back to xperx
skyrim;84167;Contract: Kill Safia;"Kill Safia 
Report back to Nazir";xorgx xperx Report back to xperx
skyrim;61201;Dampened Spirits;"Speak to Maven Black-Briar 
Speak to Mallus Maccius 
Speak to Sabjorn 
Poison the nest 
Poison the Honningbrew vat 
Attend the tasting ceremony 
Identify Sabjorn's silent partner 
Return to Maven Black-Briar 
Return to Brynjolf";Speak to Maven Black-Briar Speak to Mallus Maccius Speak to xperx Poison the nest Poison the Honningbrew vat Attend the tasting ceremony Identify xperx 's silent partner Return to Maven Black-Briar Return to xperx
skyrim;448688;Dark Ancestor;"Destroy the vampire Vighar 
Tell Dengeir that Vighar is dead";Destroy the vampire xperx Tell Dengeir that xperx is dead
skyrim;44503;Darkness Returns;"Enter the Twilight Sepulcher 
Speak to the Nightingale Sentinel 
Follow the Pilgrim's Path 
Retrieve Nystrom's Journal (optional) 
Return the Skeleton Key to Ebonmere 
Listen to Nocturnal 
Speak to Karliah 
Choose Nightingale Role";Enter the Twilight Sepulcher Speak to the xorgx Sentinel Follow the Pilgrim 's xmiscx Retrieve xperx 's xorgx ( optional ) Return the Skeleton Key to Ebonmere Listen to Nocturnal Speak to xperx Choose xorgx Role
skyrim;50573;Death Incarnate;"Enter the Sanctuary 
Search for survivors 
Kill the Legion soldiers inside the Sanctuary 
Kill Nazir's attacker! 
Speak with Nazir 
Escape the Sanctuary 
Embrace the Night Mother 
Talk to Astrid 
Kill Astrid 
Retrieve the Blade of Woe (optional) 
Return to the Night Mother";Enter the xlocx Search for survivors xorgx the xorgx soldiers inside the xlocx xorgx xperx 's attacker ! Speak with xperx xmiscx the xlocx Embrace the xlocx xperx Talk to xperx xorgx xperx Retrieve the xmiscx xmiscx Woe ( optional ) Return to the xlocx xperx
skyrim;55681;Delayed Burial;"Talk to the strange jester 
Convince Loreius to fix the wheel 
Report Cicero to the guard 
Convince Loreius or report Cicero 
Talk to Loreius 
Talk to Cicero";Talk to the strange jester Convince xperx to fix the wheel Report xperx to the guard Convince xperx or report xperx Talk to xperx Talk to xperx
skyrim;76417;Deliver Moon Sugar to Ri'saad;"Deliver Moon Sugar to Ri'saad 
Return to Tonilia";Deliver Moon Sugar to Ri'saad Return to xlocx
skyrim;159353;Delivery;Deliver the item to the target;Deliver the item to the target
skyrim;901557;Delivery to Calcelmo;Give the ring to Calcelmo;Give the ring to xperx
skyrim;55937;Destroy the Dark Brotherhood!;"Report Astrid's death to a guard 
Speak with Commander Maro 
Kill everyone in the Sanctuary! 
Report back to Commander Maro";Report xperx 's death to a guard Speak with Commander xperx xorgx everyone in the xlocx ! Report back to Commander xperx
skyrim;65023;Destruction Ritual Spell;Complete the book Power of the Elements;Complete the book Power xmiscx the xorgx
skyrim;44495;Diplomatic Immunity;"Meet Delphine in Riverwood 
Meet Malborn in Solitude 
Give Malborn any equipment to smuggle into the Thalmor Embassy 
Meet Delphine at Katla's Farm in Solitude 
Create a distraction and get away from the party 
Retrieve the Dragonborn's gear (optional) 
Search for information about the dragons returning 
Escape the Thalmor Embassy 
Talk to Delphine";Meet xperx in xlocx Meet xperx in xmiscx Give xperx any equipment to smuggle into the xorgx Embassy Meet xperx at xperx 's Farm in xmiscx Create a distraction xorgx get away from the party Retrieve the xmiscx 's gear ( optional ) Search for information about the dragons returning xmiscx the xorgx Embassy Talk to xperx
skyrim;63023;Discerning the Transmundane;"Ask Urag about the insane book 
Find Septimus Signus 
Transcribe the Lexicon 
Give the Lexicon to Septimus 
Harvest High Elf blood 
Harvest Wood Elf blood 
Harvest Dark Elf blood 
Harvest Falmer blood 
Harvest Orc blood 
Bring blood to Septimus 
Take the Oghma Infinium";Ask xperx about the insane book xmiscx Septimus Signus Transcribe the xmiscx Give the xmiscx to Septimus Harvest High xmiscx blood Harvest Wood xmiscx blood Harvest Dark xmiscx blood Harvest Falmer blood Harvest xmiscx blood Bring blood to Septimus Take the Oghma Infinium
skyrim;104086;Distant Memories;"Locate a clue about Brand-Shei's past 
Return to Brand-Shei";Locate a clue about Brand-Shei 's past Return to Brand-Shei
skyrim;245135;Dragon Hunting;"Speak to Esbern 
Travel to the given lair location 
Defeat the dragon 
Return to Esbern";Speak to xperx Travel to the given lair location Defeat the dragon Return to xperx
skyrim;88241;Dragon Research;Bring one Dragon Scale and one Dragon Bone to Esbern;Bring one xmiscx xmiscx xorgx one xmiscx Bone to xperx
skyrim;71958;Dragon Seekers;"Kill the dragon at the den 
Talk to the quest giver";xorgx the dragon at the den Talk to the quest giver
skyrim;77306;Dragon's Breath Mead (Quest);"Steal the Dragon's Breath Mead for Olda 
Bring the Dragon's Breath Mead to Olda";Steal the xmiscx 's Breath xorgx for xlocx Bring the xmiscx 's Breath xorgx to xlocx
skyrim;44498;Dragonslayer;"Help the heroes of Sovngarde dispel Alduin's mist 
Defeat Alduin";Help the heroes xmiscx xorgx dispel xorgx 's mist Defeat xorgx
skyrim;1056436;Dravynea's Frost Salts;Bring some Frost Salts to Dravynea;Bring some xmiscx Salts to xlocx
skyrim;164093;Drowned Sorrows;"Talk to Haran 
Talk to Vex at the Ragged Flagon 
Find Isabelle Rolaine in Hob's Fall Cave 
Take Isabelle's Letter and deliver it to Ranmir";Talk to xperx Talk to xorgx at the Ragged Flagon xmiscx xperx Rolaine in Hob 's Fall Cave Take xperx 's Letter xorgx deliver it to Ranmir
skyrim;971450;Dungeon Delving;"Find the item inside the dungeon 
Return the item to the owner";xmiscx the item inside the dungeon Return the item to the owner
skyrim;44499;Elder Knowledge;"Learn the location of the Elder Scroll 
Talk to Esbern (Optional) 
Talk to Arngeir (Optional) 
Recover the Elder Scroll";Learn the location xmiscx the xmiscx Scroll Talk to xperx ( Optional ) Talk to xorgx ( Optional ) Recover the xmiscx Scroll
skyrim;104977;Elisif's Tribute;"Take Torygg's War Horn to the Shrine of Talos for Elisif the Fair 
Talk to Elisif";Take xperx 's xperx Horn to the xlocx xmiscx xmiscx for xperx the xmiscx Talk to xperx
skyrim;160086;Enchanting Pick-Up;"Go to the client and pick up the item 
Return the item to Sergius Turrianus";xperx to the client xorgx pick up the item Return the item to Sergius Turrianus
skyrim;881068;Erik the Slayer (Quest);"Talk to Mralki about Erik 
Return to Erik";Talk to xperx about xperx Return to xperx
skyrim;67690;Escaped Criminal;"Kill the escaped criminal 
Speak to the quest giver";xorgx the escaped criminal Speak to the quest giver
skyrim;69650;Evil in Waiting;"Collect the three vessels 
Perform the ritual with Valdar 
Defeat Hevnoraak";Collect the three vessels Perform the ritual with Valdar Defeat xorgx
skyrim;926070;Extracting an Argonian;"Find Derkeethus 
Get Derkeethus out of the cave";xmiscx Derkeethus Get Derkeethus out xmiscx the cave
skyrim;157862;Falion's Secret;"Follow Falion to the summoning circle at 1:00 AM 
Talk to Falion 
Inform the Jarl about Falion (optional)";Follow xperx to the summoning circle at 1:00 AM Talk to xperx Inform the xorgx about xperx ( optional )
skyrim;65387;Family Heirloom;"Retrieve the gewgaw from the location 
Return to the quest giver";Retrieve the gewgaw from the location Return to the quest giver
skyrim;83908;Fetch Me That Book!;"Find the copy of the book 
Return the book to Urag gro-Shub";xmiscx the copy xmiscx the book Return the book to xperx gro-Shub
skyrim;70223;Few and Far Between;"Find 20 nirnroot for Ingun Black-Briar 
Find 20 nightshade for Ingun Black-Briar 
Find 20 deathbell for Ingun Black-Briar 
Speak to Ingun Black-Briar";xmiscx 20 nirnroot for xperx Black-Briar xmiscx 20 nightshade for xperx Black-Briar xmiscx 20 deathbell for xperx Black-Briar Speak to xperx Black-Briar
skyrim;869200;Fight! Fight!;"Challenge someone to a brawl 
Win the brawl 
Collect the bet";Challenge someone to a brawl Win the brawl Collect the bet
skyrim;74555;Find Roggi Knot-Beard's Ancestral Shield;"Find Roggi Knot-Beard's Ancestral Shield in the dungeon 
Return Roggi Knot-Beard's Ancestral Shield to Roggi";xmiscx Roggi Knot-Beard 's Ancestral xorgx in the dungeon Return Roggi Knot-Beard 's Ancestral xorgx to Roggi
skyrim;555599;Find Runil's Journal;"Find Runil's journal inside the location 
Return Runil's Journal to Runil";xmiscx xperx 's journal inside the location Return xperx 's xorgx to xperx
skyrim;80441;Find the Source of Power;Find the Source of Power at the location;xmiscx the Source xmiscx Power at the location
skyrim;73823;Find the Thalmor Assassin;"Find the Thalmor assassin 
Tell Malborn the assassin is dead";xmiscx the xorgx assassin Tell xperx the assassin is dead
skyrim;485195;Find the Word of Power;Find the Word of Power at the location;xmiscx the xmiscx xmiscx Power at the location
skyrim;74436;Finn's Lute (Quest);"Find Finn's Lute 
Give Finn's Lute to Inge";xmiscx xperx 's Lute Give xperx 's Lute to xperx
skyrim;56946;First Lessons;"Join the College of Winterhold 
Cast: 
Report to Mirabelle Ervine 
Tour the College of Winterhold 
Listen to Tolfdir";Join the xorgx xmiscx xlocx Cast : Report to Mirabelle Ervine Tour the xorgx xmiscx xlocx Listen to xorgx
skyrim;125524;Fit for a Jarl;"Speak to Elisif with Taarie's outfit on 
Tell Taarie what Elisif said about the outfit";Speak to xperx with xperx 's outfit on Tell xperx what xperx said about the outfit
skyrim;80721;Flight or Fight;"Report Leifnarr's death to his family 
Find Leifnarr 
Return to Grosta";Report xperx 's death to his family xmiscx xperx Return to xlocx
skyrim;863863;For the Good of Morthal;Deliver Gorm's Letter to Captain Aldis;Deliver xperx 's Letter to Captain xperx
skyrim;56697;Forbidden Legend;"Investigate the cryptic message 
Investigate the Gauldur legend 
Learn the truth from Daynas Valen 
Read Daynas Valen's notes 
Find the Gauldur Amulet fragment in Saarthal 
Find the Gauldur Amulet fragment in Folgunthur 
Find the Gauldur Amulet fragment in Geirmund's Hall 
Reforge the Gauldur Amulet 
Take the Gauldur Amulet";Investigate the cryptic message Investigate the xmiscx legend Learn the truth from Daynas Valen Read Daynas Valen 's notes xmiscx the xmiscx Amulet fragment in xlocx xmiscx the xmiscx Amulet fragment in xlocx xmiscx the xmiscx Amulet fragment in Geirmund 's xlocx Reforge the xmiscx Amulet Take the xmiscx Amulet
skyrim;88508;Forgetting about Fjola;"Search Mistwatch for Fjola 
Return to Christer 
Report back to Fjola (if getting rid of Christer)";Search xorgx for xperx Return to xperx Report back to xperx ( if getting rid xmiscx xperx )
skyrim;60355;Forgotten Names;"Discover the strange Daedric Gauntlet in The Midden 
Recover the nearby key and incident report 
Retrieve the four missing rings in the Arcanaeum 
Place the rings on the correct fingers of the gauntlet 
Slay or release Velehk Sain";Discover the strange Daedric Gauntlet in xlocx xmiscx Recover the nearby key xorgx incident report Retrieve the four missing rings in the xlocx Place the rings on the correct fingers xmiscx the gauntlet Slay or release Velehk Sain
skyrim;90072;Frostflow Abyss (Quest);Find the source of the murders in Frostflow Lighthouse;xmiscx the source xmiscx the murders in Frostflow Lighthouse
skyrim;869187;Gather Wheat;"Collect crops 
Sell the crops to a farmer";Collect crops Sell the crops to a farmer
skyrim;80430;Get Outfitted;"Talk to Beirand 
Choose the desired armor type";Talk to xperx Choose the desired armor type
